#,Taxonomy,Class,Template Name,File Folder,Filename,Image,Tag,Mask,Resolution,Top,Left,Width,Height,Points,Text Annotation,Minimal Top,Minimal Left,Minimal Width,Minimal Height,Attributes
300,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"F051E018-DAD1-4506-AD43-BE4CA29E960B.jpeg",images/910fcb6cb2241b9a1196ac49fcad37a0e17fc089.jpg,tags/910fcb6cb2241b9a1196ac49fcad37a0e17fc089_gE37bwT5PfzcBiKF6.png,masks/910fcb6cb2241b9a1196ac49fcad37a0e17fc089_gE37bwT5PfzcBiKF6.png,1560x1668,524,648,527,791,,"undefined",524,648,527,791,
301,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"F051E018-DAD1-4506-AD43-BE4CA29E960B.jpeg",images/910fcb6cb2241b9a1196ac49fcad37a0e17fc089.jpg,tags/910fcb6cb2241b9a1196ac49fcad37a0e17fc089_4HGoCxc2G7sZ8KL7Y.png,masks/910fcb6cb2241b9a1196ac49fcad37a0e17fc089_4HGoCxc2G7sZ8KL7Y.png,1560x1668,226,855,567,1254,,"undefined",226,855,567,1254,
302,,"COVID-19 Right Lung","Right Lung",,"F051E018-DAD1-4506-AD43-BE4CA29E960B.jpeg",images/910fcb6cb2241b9a1196ac49fcad37a0e17fc089.jpg,tags/910fcb6cb2241b9a1196ac49fcad37a0e17fc089_X6c5FbE5iPtRj5ewq.png,masks/910fcb6cb2241b9a1196ac49fcad37a0e17fc089_X6c5FbE5iPtRj5ewq.png,1560x1668,192,152,663,1276,,"undefined",192,152,663,1276,
303,,"COVID-19 Airways","Airways",,"F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg",images/b02bf98440ae044ff3b33ae609262fced77592c9.jpg,tags/b02bf98440ae044ff3b33ae609262fced77592c9_bRabB9ui9f6RX7o8n.png,masks/b02bf98440ae044ff3b33ae609262fced77592c9_bRabB9ui9f6RX7o8n.png,1024x1024,133,353,226,347,,"undefined",133,353,226,347,
304,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg",images/b02bf98440ae044ff3b33ae609262fced77592c9.jpg,tags/b02bf98440ae044ff3b33ae609262fced77592c9_uB3vaQuv7kyTyvuPR.png,masks/b02bf98440ae044ff3b33ae609262fced77592c9_uB3vaQuv7kyTyvuPR.png,1024x1024,264,311,392,499,,"undefined",264,311,392,499,
305,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg",images/b02bf98440ae044ff3b33ae609262fced77592c9.jpg,tags/b02bf98440ae044ff3b33ae609262fced77592c9_D6tuH9XJDvHEJWf2T.png,masks/b02bf98440ae044ff3b33ae609262fced77592c9_D6tuH9XJDvHEJWf2T.png,1024x1024,229,84,714,459,,"undefined",229,84,714,459,
306,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg",images/b02bf98440ae044ff3b33ae609262fced77592c9.jpg,tags/b02bf98440ae044ff3b33ae609262fced77592c9_HANfECyHyvkMoZdek.png,masks/b02bf98440ae044ff3b33ae609262fced77592c9_HANfECyHyvkMoZdek.png,1024x1024,151,499,350,629,,"undefined",151,499,350,629,
307,,"COVID-19 Right Lung","Right Lung",,"F2DE909F-E19C-4900-92F5-8F435B031AC6.jpeg",images/b02bf98440ae044ff3b33ae609262fced77592c9.jpg,tags/b02bf98440ae044ff3b33ae609262fced77592c9_JapM4jy8XwevyG67T.png,masks/b02bf98440ae044ff3b33ae609262fced77592c9_JapM4jy8XwevyG67T.png,1024x1024,183,56,380,548,,"undefined",183,56,380,548,
308,,"COVID-19 Airways","Airways",,"covid-19-pneumonia-rapidly-progressive-12-hours.jpg",images/2635a37fa311c2521bb49ee2e62f4d8dc8190463.jpg,tags/2635a37fa311c2521bb49ee2e62f4d8dc8190463_foDRXKXZWXLrwPHbd.png,masks/2635a37fa311c2521bb49ee2e62f4d8dc8190463_foDRXKXZWXLrwPHbd.png,952x945,3,364,223,422,,"undefined",3,364,223,422,
309,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"covid-19-pneumonia-rapidly-progressive-12-hours.jpg",images/2635a37fa311c2521bb49ee2e62f4d8dc8190463.jpg,tags/2635a37fa311c2521bb49ee2e62f4d8dc8190463_qR8GFYMzrLLLAbT9C.png,masks/2635a37fa311c2521bb49ee2e62f4d8dc8190463_qR8GFYMzrLLLAbT9C.png,952x945,98,348,445,598,,"undefined",98,348,445,598,
310,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"covid-19-pneumonia-rapidly-progressive-12-hours.jpg",images/2635a37fa311c2521bb49ee2e62f4d8dc8190463.jpg,tags/2635a37fa311c2521bb49ee2e62f4d8dc8190463_uYpRkzuyiis9HciNp.png,masks/2635a37fa311c2521bb49ee2e62f4d8dc8190463_uYpRkzuyiis9HciNp.png,952x945,83,76,831,634,,"undefined",83,76,831,634,
311,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"covid-19-pneumonia-rapidly-progressive-12-hours.jpg",images/2635a37fa311c2521bb49ee2e62f4d8dc8190463.jpg,tags/2635a37fa311c2521bb49ee2e62f4d8dc8190463_pb89iRTChE57dq7ag.png,masks/2635a37fa311c2521bb49ee2e62f4d8dc8190463_pb89iRTChE57dq7ag.png,952x945,14,500,426,794,,"undefined",14,500,426,794,
312,,"COVID-19 Monitoring Probes","Monitoring Probes",,"covid-19-pneumonia-rapidly-progressive-12-hours.jpg",images/2635a37fa311c2521bb49ee2e62f4d8dc8190463.jpg,tags/2635a37fa311c2521bb49ee2e62f4d8dc8190463_mnWH2E2ZerfX8WsxK.png,masks/2635a37fa311c2521bb49ee2e62f4d8dc8190463_mnWH2E2ZerfX8WsxK.png,952x945,96,0,809,785,,"undefined",96,0,809,785,
313,,"COVID-19 Nosogastric Tube","Nosogastric Tube",,"covid-19-pneumonia-rapidly-progressive-12-hours.jpg",images/2635a37fa311c2521bb49ee2e62f4d8dc8190463.jpg,tags/2635a37fa311c2521bb49ee2e62f4d8dc8190463_ju4RrCM3zarmfYeSQ.png,masks/2635a37fa311c2521bb49ee2e62f4d8dc8190463_ju4RrCM3zarmfYeSQ.png,952x945,0,461,235,938,,"undefined",0,461,235,938,
314,,"COVID-19 Right Lung","Right Lung",,"covid-19-pneumonia-rapidly-progressive-12-hours.jpg",images/2635a37fa311c2521bb49ee2e62f4d8dc8190463.jpg,tags/2635a37fa311c2521bb49ee2e62f4d8dc8190463_n2G4JuKdgbZmJMbAs.png,masks/2635a37fa311c2521bb49ee2e62f4d8dc8190463_n2G4JuKdgbZmJMbAs.png,952x945,28,28,394,709,,"undefined",28,28,394,709,
315,,"COVID-19 Tubings","Tubings",,"covid-19-pneumonia-rapidly-progressive-12-hours.jpg",images/2635a37fa311c2521bb49ee2e62f4d8dc8190463.jpg,tags/2635a37fa311c2521bb49ee2e62f4d8dc8190463_f7JLpci3Sqnpp2Z3w.png,masks/2635a37fa311c2521bb49ee2e62f4d8dc8190463_f7JLpci3Sqnpp2Z3w.png,952x945,18,784,168,122,,"undefined",18,784,168,122,
316,,"COVID-19 Airways","Airways",,"F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg",images/56bb978f27d9083c720e2afe256dcea0cf0dc097.jpg,tags/56bb978f27d9083c720e2afe256dcea0cf0dc097_3nsXddYytDPdtdfbo.png,masks/56bb978f27d9083c720e2afe256dcea0cf0dc097_3nsXddYytDPdtdfbo.png,2061x1369,0,832,460,734,,"undefined",0,832,460,734,
317,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg",images/56bb978f27d9083c720e2afe256dcea0cf0dc097.jpg,tags/56bb978f27d9083c720e2afe256dcea0cf0dc097_kgiPojknARBKX9dZT.png,masks/56bb978f27d9083c720e2afe256dcea0cf0dc097_kgiPojknARBKX9dZT.png,2061x1369,255,755,1099,1072,,"undefined",255,755,1099,1072,
318,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg",images/56bb978f27d9083c720e2afe256dcea0cf0dc097.jpg,tags/56bb978f27d9083c720e2afe256dcea0cf0dc097_KyF3t6CQ4Dcs6TBfn.png,masks/56bb978f27d9083c720e2afe256dcea0cf0dc097_KyF3t6CQ4Dcs6TBfn.png,2061x1369,202,337,1588,996,,"undefined",202,337,1588,996,
319,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg",images/56bb978f27d9083c720e2afe256dcea0cf0dc097.jpg,tags/56bb978f27d9083c720e2afe256dcea0cf0dc097_S4eKhnswMFG53kjrP.png,masks/56bb978f27d9083c720e2afe256dcea0cf0dc097_S4eKhnswMFG53kjrP.png,2061x1369,169,1127,857,1182,,"undefined",169,1127,857,1182,
320,,"COVID-19 Right Lung","Right Lung",,"F63AB6CE-1968-4154-A70F-913AF154F53D.jpeg",images/56bb978f27d9083c720e2afe256dcea0cf0dc097.jpg,tags/56bb978f27d9083c720e2afe256dcea0cf0dc097_DAEybnTyQLwvbgzSj.png,masks/56bb978f27d9083c720e2afe256dcea0cf0dc097_DAEybnTyQLwvbgzSj.png,2061x1369,210,165,783,1055,,"undefined",210,165,783,1055,
321,,"COVID-19 Airways","Airways",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg",images/cb9af073277c80fa647524d1aeb291f7b77a56f0.jpg,tags/cb9af073277c80fa647524d1aeb291f7b77a56f0_ZFb7s93SEFmioFyzu.png,masks/cb9af073277c80fa647524d1aeb291f7b77a56f0_ZFb7s93SEFmioFyzu.png,994x913,0,377,224,458,,"undefined",0,377,224,458,
322,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg",images/cb9af073277c80fa647524d1aeb291f7b77a56f0.jpg,tags/cb9af073277c80fa647524d1aeb291f7b77a56f0_rNH39Hp5BgZwFjtJe.png,masks/cb9af073277c80fa647524d1aeb291f7b77a56f0_rNH39Hp5BgZwFjtJe.png,994x913,191,364,442,491,,"undefined",191,364,442,491,
323,,"COVID-19 Central Venous Line","Central Venous Line",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg",images/cb9af073277c80fa647524d1aeb291f7b77a56f0.jpg,tags/cb9af073277c80fa647524d1aeb291f7b77a56f0_kE8xWHQMripfuCs86.png,masks/cb9af073277c80fa647524d1aeb291f7b77a56f0_kE8xWHQMripfuCs86.png,994x913,0,388,47,362,,"undefined",0,388,47,362,
324,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg",images/cb9af073277c80fa647524d1aeb291f7b77a56f0.jpg,tags/cb9af073277c80fa647524d1aeb291f7b77a56f0_XCG7kroHnKYNkxyuL.png,masks/cb9af073277c80fa647524d1aeb291f7b77a56f0_XCG7kroHnKYNkxyuL.png,994x913,117,126,788,504,,"undefined",117,126,788,504,
325,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg",images/cb9af073277c80fa647524d1aeb291f7b77a56f0.jpg,tags/cb9af073277c80fa647524d1aeb291f7b77a56f0_JvjbGXt7zrLxuwBZT.png,masks/cb9af073277c80fa647524d1aeb291f7b77a56f0_JvjbGXt7zrLxuwBZT.png,994x913,104,547,417,809,,"undefined",104,547,417,809,
326,,"COVID-19 Monitoring Probes","Monitoring Probes",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg",images/cb9af073277c80fa647524d1aeb291f7b77a56f0.jpg,,,994x913,0,0,994,913,,"undefined",,,,,
327,,"COVID-19 Nosogastric Tube","Nosogastric Tube",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg",images/cb9af073277c80fa647524d1aeb291f7b77a56f0.jpg,tags/cb9af073277c80fa647524d1aeb291f7b77a56f0_hhzCvzFGRt37ewnM3.png,masks/cb9af073277c80fa647524d1aeb291f7b77a56f0_hhzCvzFGRt37ewnM3.png,994x913,0,490,357,913,,"undefined",0,490,357,913,
328,,"COVID-19 Right Lung","Right Lung",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg",images/cb9af073277c80fa647524d1aeb291f7b77a56f0.jpg,tags/cb9af073277c80fa647524d1aeb291f7b77a56f0_zuZErMZTS57vyYzHe.png,masks/cb9af073277c80fa647524d1aeb291f7b77a56f0_zuZErMZTS57vyYzHe.png,994x913,113,62,419,728,,"undefined",113,62,419,728,
329,,"COVID-19 Airways","Airways",,"covid-19-pneumonia-rapidly-progressive-3-days.jpg",images/3dc20f4880b95c7bf9365fb3849e630c5d4860d1.jpg,tags/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_DkMRxNBkAdL5EpeeM.png,masks/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_DkMRxNBkAdL5EpeeM.png,1064x913,0,395,249,462,,"undefined",0,395,249,462,
330,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"covid-19-pneumonia-rapidly-progressive-3-days.jpg",images/3dc20f4880b95c7bf9365fb3849e630c5d4860d1.jpg,tags/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_ANJ42x2DxFoTE7egn.png,masks/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_ANJ42x2DxFoTE7egn.png,1064x913,120,344,513,635,,"undefined",120,344,513,635,
331,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"covid-19-pneumonia-rapidly-progressive-3-days.jpg",images/3dc20f4880b95c7bf9365fb3849e630c5d4860d1.jpg,tags/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_Q5aScRoWy39QAu9SX.png,masks/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_Q5aScRoWy39QAu9SX.png,1064x913,101,57,945,636,,"undefined",101,57,945,636,
332,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"covid-19-pneumonia-rapidly-progressive-3-days.jpg",images/3dc20f4880b95c7bf9365fb3849e630c5d4860d1.jpg,tags/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_9QS7zn33v5AmHXvjF.png,masks/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_9QS7zn33v5AmHXvjF.png,1064x913,33,534,487,752,,"undefined",33,534,487,752,
333,,"COVID-19 Monitoring Probes","Monitoring Probes",,"covid-19-pneumonia-rapidly-progressive-3-days.jpg",images/3dc20f4880b95c7bf9365fb3849e630c5d4860d1.jpg,,,1064x913,0,0,1064,913,,"undefined",,,,,
334,,"COVID-19 Right Lung","Right Lung",,"covid-19-pneumonia-rapidly-progressive-3-days.jpg",images/3dc20f4880b95c7bf9365fb3849e630c5d4860d1.jpg,tags/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_BXQFihwyEhdAW5XTc.png,masks/3dc20f4880b95c7bf9365fb3849e630c5d4860d1_BXQFihwyEhdAW5XTc.png,1064x913,36,20,447,745,,"undefined",36,20,447,745,
335,,"COVID-19 Airways","Airways",,"covid-19-pneumonia-evolution-over-a-week-1-day0-PA.jpg",images/659acbd4f63c639bc7dc3f542c809248c9844dee.jpg,tags/659acbd4f63c639bc7dc3f542c809248c9844dee_YZrAkBMGt6N8GTrip.png,masks/659acbd4f63c639bc7dc3f542c809248c9844dee_YZrAkBMGt6N8GTrip.png,450x389,0,173,88,197,,"undefined",0,173,88,197,
336,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"covid-19-pneumonia-evolution-over-a-week-1-day0-PA.jpg",images/659acbd4f63c639bc7dc3f542c809248c9844dee.jpg,tags/659acbd4f63c639bc7dc3f542c809248c9844dee_scDrgC6XqJWSSSbDh.png,masks/659acbd4f63c639bc7dc3f542c809248c9844dee_scDrgC6XqJWSSSbDh.png,450x389,107,162,184,199,,"undefined",107,162,184,199,
337,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"covid-19-pneumonia-evolution-over-a-week-1-day0-PA.jpg",images/659acbd4f63c639bc7dc3f542c809248c9844dee.jpg,tags/659acbd4f63c639bc7dc3f542c809248c9844dee_P6HtoL9DGeqGf6hwL.png,masks/659acbd4f63c639bc7dc3f542c809248c9844dee_P6HtoL9DGeqGf6hwL.png,450x389,187,82,294,85,,"undefined",187,82,294,85,
338,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"covid-19-pneumonia-evolution-over-a-week-1-day0-PA.jpg",images/659acbd4f63c639bc7dc3f542c809248c9844dee.jpg,tags/659acbd4f63c639bc7dc3f542c809248c9844dee_KDdbJsbiHiohKiHDT.png,masks/659acbd4f63c639bc7dc3f542c809248c9844dee_KDdbJsbiHiohKiHDT.png,450x389,24,228,200,304,,"undefined",24,228,200,304,
339,,"COVID-19 Right Lung","Right Lung",,"covid-19-pneumonia-evolution-over-a-week-1-day0-PA.jpg",images/659acbd4f63c639bc7dc3f542c809248c9844dee.jpg,tags/659acbd4f63c639bc7dc3f542c809248c9844dee_WypgbxrCK7HakrBkp.png,masks/659acbd4f63c639bc7dc3f542c809248c9844dee_WypgbxrCK7HakrBkp.png,450x389,21,17,185,320,,"undefined",21,17,185,320,
340,,"COVID-19 Airways","Airways",,"covid-19-pneumonia-30-PA.jpg",images/087dcd48ee49636a87852dd434e6499b81d8f080.jpg,tags/087dcd48ee49636a87852dd434e6499b81d8f080_mshwpwBKM3rLFgcn9.png,masks/087dcd48ee49636a87852dd434e6499b81d8f080_mshwpwBKM3rLFgcn9.png,3670x3308,0,1547,785,1716,,"undefined",0,1547,785,1716,
341,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"covid-19-pneumonia-30-PA.jpg",images/087dcd48ee49636a87852dd434e6499b81d8f080.jpg,tags/087dcd48ee49636a87852dd434e6499b81d8f080_tS7qXpR9HRz8ikonv.png,masks/087dcd48ee49636a87852dd434e6499b81d8f080_tS7qXpR9HRz8ikonv.png,3670x3308,902,1325,1604,1745,,"undefined",902,1325,1604,1745,
342,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"covid-19-pneumonia-30-PA.jpg",images/087dcd48ee49636a87852dd434e6499b81d8f080.jpg,tags/087dcd48ee49636a87852dd434e6499b81d8f080_TYsDfooJqWr4HuJr8.png,masks/087dcd48ee49636a87852dd434e6499b81d8f080_TYsDfooJqWr4HuJr8.png,3670x3308,1406,185,3132,1421,,"undefined",1406,185,3132,1421,
343,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"covid-19-pneumonia-30-PA.jpg",images/087dcd48ee49636a87852dd434e6499b81d8f080.jpg,tags/087dcd48ee49636a87852dd434e6499b81d8f080_4BYqd9Y5AQddpoK8v.png,masks/087dcd48ee49636a87852dd434e6499b81d8f080_4BYqd9Y5AQddpoK8v.png,3670x3308,305,2051,1350,2874,,"undefined",305,2051,1350,2874,
344,,"COVID-19 Right Lung","Right Lung",,"covid-19-pneumonia-30-PA.jpg",images/087dcd48ee49636a87852dd434e6499b81d8f080.jpg,tags/087dcd48ee49636a87852dd434e6499b81d8f080_qucJCE7sokNcctRTe.png,masks/087dcd48ee49636a87852dd434e6499b81d8f080_qucJCE7sokNcctRTe.png,3670x3308,276,173,1658,2624,,"undefined",276,173,1658,2624,
345,,"COVID-19 Airways","Airways",,"covid-19-pneumonia-rapidly-progressive-admission.jpg",images/ac03d8cc655ca5054e9475cb889ad55702448ca3.jpg,tags/ac03d8cc655ca5054e9475cb889ad55702448ca3_m8b3Yi3iibornjr93.png,masks/ac03d8cc655ca5054e9475cb889ad55702448ca3_m8b3Yi3iibornjr93.png,1064x919,0,400,241,500,,"undefined",0,400,241,500,
346,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"covid-19-pneumonia-rapidly-progressive-admission.jpg",images/ac03d8cc655ca5054e9475cb889ad55702448ca3.jpg,tags/ac03d8cc655ca5054e9475cb889ad55702448ca3_eSfZ6GnWGeFYyemqP.png,masks/ac03d8cc655ca5054e9475cb889ad55702448ca3_eSfZ6GnWGeFYyemqP.png,1064x919,180,371,532,638,,"undefined",180,371,532,638,
347,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"covid-19-pneumonia-rapidly-progressive-admission.jpg",images/ac03d8cc655ca5054e9475cb889ad55702448ca3.jpg,tags/ac03d8cc655ca5054e9475cb889ad55702448ca3_6vneXtRXLkGYnzJXb.png,masks/ac03d8cc655ca5054e9475cb889ad55702448ca3_6vneXtRXLkGYnzJXb.png,1064x919,108,55,949,651,,"undefined",108,55,949,651,
348,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"covid-19-pneumonia-rapidly-progressive-admission.jpg",images/ac03d8cc655ca5054e9475cb889ad55702448ca3.jpg,tags/ac03d8cc655ca5054e9475cb889ad55702448ca3_iJuEYihmBu5hZbNdM.png,masks/ac03d8cc655ca5054e9475cb889ad55702448ca3_iJuEYihmBu5hZbNdM.png,1064x919,44,562,469,866,,"undefined",44,562,469,866,
349,,"COVID-19 Right Lung","Right Lung",,"covid-19-pneumonia-rapidly-progressive-admission.jpg",images/ac03d8cc655ca5054e9475cb889ad55702448ca3.jpg,tags/ac03d8cc655ca5054e9475cb889ad55702448ca3_uh6SjHz2SJQDE3vkh.png,masks/ac03d8cc655ca5054e9475cb889ad55702448ca3_uh6SjHz2SJQDE3vkh.png,1064x919,38,44,445,839,,"undefined",38,44,445,839,
350,,"COVID-19 Airways","Airways",,"parapneumonic-effusion-1-PA.png",images/daa50d38a8b77438a9e0a850393f8561ccb267c1.png,tags/daa50d38a8b77438a9e0a850393f8561ccb267c1_uqkAPGCTyx78LpZb2.png,masks/daa50d38a8b77438a9e0a850393f8561ccb267c1_uqkAPGCTyx78LpZb2.png,3000x2542,0,1224,523,1288,,"undefined",0,1224,523,1288,
351,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"parapneumonic-effusion-1-PA.png",images/daa50d38a8b77438a9e0a850393f8561ccb267c1.png,tags/daa50d38a8b77438a9e0a850393f8561ccb267c1_J7Sd4ZhZG63YRmG3r.png,masks/daa50d38a8b77438a9e0a850393f8561ccb267c1_J7Sd4ZhZG63YRmG3r.png,3000x2542,754,1088,1245,1073,,"undefined",754,1088,1245,1073,
352,,"COVID-19 Consolidation","Consolidation",,"parapneumonic-effusion-1-PA.png",images/daa50d38a8b77438a9e0a850393f8561ccb267c1.png,tags/daa50d38a8b77438a9e0a850393f8561ccb267c1_tgSwZxjX2QNjY5zup.png,masks/daa50d38a8b77438a9e0a850393f8561ccb267c1_tgSwZxjX2QNjY5zup.png,3000x2542,1128,2026,464,628,,"undefined",1128,2026,464,628,
353,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"parapneumonic-effusion-1-PA.png",images/daa50d38a8b77438a9e0a850393f8561ccb267c1.png,tags/daa50d38a8b77438a9e0a850393f8561ccb267c1_ck8qQL9kFsKZNzQfB.png,masks/daa50d38a8b77438a9e0a850393f8561ccb267c1_ck8qQL9kFsKZNzQfB.png,3000x2542,315,1603,874,1404,,"undefined",315,1603,874,1404,
354,,"COVID-19 Right Lung","Right Lung",,"parapneumonic-effusion-1-PA.png",images/daa50d38a8b77438a9e0a850393f8561ccb267c1.png,tags/daa50d38a8b77438a9e0a850393f8561ccb267c1_jcunBHX5vBnPzbuCZ.png,masks/daa50d38a8b77438a9e0a850393f8561ccb267c1_jcunBHX5vBnPzbuCZ.png,3000x2542,384,391,990,1370,,"undefined",384,391,990,1370,
355,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"parapneumonic-effusion-1-PA.png",images/daa50d38a8b77438a9e0a850393f8561ccb267c1.png,tags/daa50d38a8b77438a9e0a850393f8561ccb267c1_3AWyr6PtyM7fcsEjm.png,masks/daa50d38a8b77438a9e0a850393f8561ccb267c1_3AWyr6PtyM7fcsEjm.png,3000x2542,631,1934,525,725,,"undefined",631,1934,525,725,
356,,"COVID-19 Airways","Airways",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg",images/9e01051ce5de50be3b97fa5e526cf076f5510e72.jpg,tags/9e01051ce5de50be3b97fa5e526cf076f5510e72_ST3RooM3ycAQiFBkP.png,masks/9e01051ce5de50be3b97fa5e526cf076f5510e72_ST3RooM3ycAQiFBkP.png,834x806,0,327,178,367,,"undefined",0,327,178,367,
357,,"COVID-19 Cardiomediastinum","Cardiomediastinum",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg",images/9e01051ce5de50be3b97fa5e526cf076f5510e72.jpg,tags/9e01051ce5de50be3b97fa5e526cf076f5510e72_LLnx3HHN9Gtp2wXX3.png,masks/9e01051ce5de50be3b97fa5e526cf076f5510e72_LLnx3HHN9Gtp2wXX3.png,834x806,205,225,442,461,,"undefined",205,225,442,461,
358,,"COVID-19 Endotracheal Tube","Endotracheal Tube",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg",images/9e01051ce5de50be3b97fa5e526cf076f5510e72.jpg,tags/9e01051ce5de50be3b97fa5e526cf076f5510e72_Gu3meS9yCeuDeEzhP.png,masks/9e01051ce5de50be3b97fa5e526cf076f5510e72_Gu3meS9yCeuDeEzhP.png,834x806,0,383,71,255,,"undefined",0,383,71,255,
359,,"COVID-19 Ground Glass Opacities","Ground Glass Opacities",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg",images/9e01051ce5de50be3b97fa5e526cf076f5510e72.jpg,tags/9e01051ce5de50be3b97fa5e526cf076f5510e72_uet2nPMGQKkZpPbhG.png,masks/9e01051ce5de50be3b97fa5e526cf076f5510e72_uet2nPMGQKkZpPbhG.png,834x806,58,127,649,494,,"undefined",58,127,649,494,
360,"Class:Left Lung","COVID-19 Left Lung","Left Lung",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg",images/9e01051ce5de50be3b97fa5e526cf076f5510e72.jpg,tags/9e01051ce5de50be3b97fa5e526cf076f5510e72_nX26DZ5dMdyyMBNwc.png,masks/9e01051ce5de50be3b97fa5e526cf076f5510e72_nX26DZ5dMdyyMBNwc.png,834x806,60,442,361,700,,"undefined",60,442,361,700,
361,,"COVID-19 Consolidation","Consolidation",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg",images/9e01051ce5de50be3b97fa5e526cf076f5510e72.jpg,tags/9e01051ce5de50be3b97fa5e526cf076f5510e72_MJfZrDyc5AJwMq2vP.png,masks/9e01051ce5de50be3b97fa5e526cf076f5510e72_MJfZrDyc5AJwMq2vP.png,834x806,195,20,329,375,,"undefined",195,20,329,375,
362,,"COVID-19 Monitoring Probes","Monitoring Probes",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg",images/9e01051ce5de50be3b97fa5e526cf076f5510e72.jpg,,,834x806,0,0,834,806,,"undefined",,,,,
363,,"COVID-19 Tubings","Tubings",,"covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg",images/9e01051ce5de50be3b97fa5e526cf076f5510e72.jpg,tags/9e01051ce5de50be3b97fa5e526cf076f5510e72_DCqLLBAk46Ge5gqJr.png,masks/9e01051ce5de50be3b97fa5e526cf076f5510e72_DCqLLBAk46Ge5gqJr.png,834x806,231,0,834,363,,"undefined",231,0,834,363,
